Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,total_exposure
2023-03-28,0.2845406,0.06392269,0.117827505,0.16621561,0.27735406,0.082021914,0.1665913,0.17969812,0.0993939,0.16809298,0.14930129,-0.16302039,1.9179803
2023-03-29,0.28740796,0.06444837,0.11805697,0.16576242,0.27658635,0.08189939,0.16787899,0.1822929,0.10105227,0.16489819,0.14998467,-0.16315618,1.9234247
2023-03-30,0.29114428,0.06513578,0.11776514,0.1640167,0.27681798,0.08056162,0.16951954,0.18751153,0.10120894,0.16193628,0.15009275,-0.16310172,1.9288123
2023-03-31,0.29262543,0.06540893,0.11787234,0.1636776,0.2765749,0.08041861,0.17019364,0.18900667,0.10193156,0.16039336,0.15039024,-0.16314933,1.9316427
2023-04-03,0.2928968,0.06545516,0.117517546,0.1628317,0.27740937,0.07959561,0.17029788,0.1905384,0.10071592,0.16094153,0.14992356,-0.16302308,1.9311465
2023-04-04,0.114672795,0.023172844,0.10616718,0.15773161,0.2681218,0.09732606,0.071421415,0.0405992,0.053267278,0.27561328,0.14633353,-0.15820932,1.5126363
2023-04-05,0.19950345,0.041783888,0.1187105,0.16939043,0.2766612,0.09083102,0.12115784,0.099968165,0.077783085,0.22923675,0.14718923,-0.16177094,1.7339866
2023-04-06,0.19880354,0.034946095,0.12382607,0.1589106,0.27079573,0.088795826,0.118424445,0.105099455,0.0823499,0.21752521,0.1553361,-0.16350554,1.7183186
2023-04-10,0.23109655,0.048447397,0.12144838,0.16832176,0.27615148,0.088078775,0.13806173,0.12679565,0.08870059,0.20510837,0.15002269,-0.16236755,1.8046012
2023-04-11,0.11907013,0.02930364,0.10183583,0.1645067,0.27207446,0.09675901,0.071464844,0.041167505,0.055099163,0.28060013,0.14136751,-0.1606035,1.5338525
2023-04-12,0.27363473,0.061063346,0.11923312,0.16892973,0.27594453,0.08485825,0.1610629,0.16581336,0.09944941,0.17503077,0.14989673,-0.16295648,1.8978733
2023-04-13,0.30377534,0.06756897,0.11779021,0.1606307,0.2737326,0.079145774,0.17492123,0.20084278,0.1070533,0.14798734,0.1525273,-0.16326615,1.9492418
2023-04-14,0.31510398,0.069605395,0.11548777,0.15326446,0.27340296,0.074487776,0.17931937,0.21902442,0.1065253,0.13741982,0.1527876,-0.16236073,1.9587896
2023-04-17,0.31749165,0.07004413,0.11571081,0.1533176,0.271518,0.07513742,0.1803143,0.22031847,0.1090845,0.13348137,0.15385729,-0.16240786,1.9626834
2023-04-18,0.31030113,0.06881931,0.11691791,0.15722594,0.27321547,0.07706715,0.17752226,0.21010435,0.10784441,0.14168666,0.15299563,-0.16294143,1.9566417
2023-04-19,0.3079982,0.06837932,0.11721389,0.1583933,0.27350616,0.07772513,0.17660888,0.20690858,0.10744329,0.14403886,0.15277809,-0.16305971,1.9540536
2023-04-20,0.31531858,0.06967653,0.115813404,0.15381931,0.27288646,0.07502358,0.17945126,0.21830086,0.10758173,0.13675001,0.15315834,-0.1624643,1.9602442
2023-04-21,0.31199533,0.06908184,0.11592801,0.15471035,0.27447733,0.075072214,0.17810757,0.21499193,0.10559911,0.14127254,0.15225469,-0.16255629,1.9560473
2023-04-24,0.31633857,0.06986493,0.115022376,0.15214878,0.27348095,0.073807485,0.17972559,0.22150001,0.10608919,0.13633448,0.15268853,-0.1621851,1.959186
2023-04-25,0.31439084,0.06950554,0.11564572,0.1536983,0.2736154,0.07469941,0.17904386,0.21794027,0.10646237,0.13828263,0.15270272,-0.16242266,1.9584097
2023-04-26,0.32170594,0.07090889,0.1139376,0.14936498,0.27151626,0.0728605,0.18164966,0.22899504,0.10744254,0.1294995,0.15354759,-0.16171002,1.9631386
2023-04-27,0.32405812,0.07137075,0.113292515,0.14796779,0.27048358,0.07242073,0.18242131,0.2324946,0.107963316,0.1262927,0.15393025,-0.161448,1.9641438
2023-04-28,0.32061592,0.07080458,0.11409767,0.14994724,0.2720474,0.072997496,0.18118237,0.22751449,0.10714723,0.13107696,0.15329322,-0.16183148,1.962556
2023-05-01,0.32571957,0.07185205,0.11247878,0.14647686,0.27039385,0.071849406,0.18280977,0.23605928,0.107276164,0.1245964,0.15386042,-0.16101888,1.9643915
2023-05-02,0.323896,0.07153791,0.113136604,0.14781521,0.27117822,0.07226701,0.18224132,0.23294166,0.10724495,0.12714033,0.1536147,-0.1613588,1.9643726
2023-05-03,0.31923354,0.070761204,0.114164844,0.15030684,0.27348012,0.07300155,0.18056427,0.2265749,0.10576722,0.13373505,0.15268709,-0.16179848,1.9620751
2023-05-04,0.31744823,0.070411205,0.11452533,0.15129086,0.2739997,0.073336266,0.17990674,0.22394074,0.105504945,0.13589543,0.15244874,-0.1620085,1.9607168
2023-05-05,0.31711245,0.07042835,0.11449976,0.1513216,0.2744297,0.07331599,0.17973731,0.2238456,0.105045974,0.13661528,0.15226106,-0.16197282,1.9605858
2023-05-08,0.31412053,0.06978573,0.11506574,0.15300688,0.2748395,0.07397496,0.17864272,0.21916461,0.10491977,0.13978483,0.15198205,-0.1622778,1.9575652
2023-05-09,0.31739336,0.07038234,0.11461198,0.1514965,0.2737174,0.07345118,0.17989431,0.22343974,0.10594671,0.13569929,0.15256655,-0.1620859,1.9606851
2023-05-10,0.31584984,0.06998297,0.1149873,0.15243587,0.27377743,0.07385332,0.17937945,0.22083029,0.106069535,0.13716194,0.1525111,-0.16227409,1.9591132
2023-05-11,0.31662962,0.070233665,0.11469743,0.15181552,0.27400583,0.07354508,0.17960423,0.22251041,0.10562018,0.13667999,0.15240893,-0.16211745,1.9598683
2023-05-12,0.31235713,0.069344,0.115397334,0.15389775,0.27507013,0.07436553,0.17803808,0.216566,0.10471367,0.1415704,0.15183315,-0.16243526,1.9555886
2023-05-15,0.31355715,0.06961113,0.11523874,0.15335448,0.27483344,0.07414888,0.1784827,0.21818496,0.10499732,0.14026284,0.1519897,-0.16234922,1.9570104
2023-05-16,0.30683103,0.068264574,0.11608936,0.15647462,0.2761956,0.07560751,0.17590012,0.20919481,0.10339573,0.1476018,0.15112051,-0.16277045,1.949446
2023-05-17,0.29527503,0.06617885,0.11710866,0.1616799,0.2776381,0.078641556,0.17110135,0.19387764,0.10107105,0.15920375,0.14986347,-0.16304314,1.9346824
2023-05-18,0.22187375,0.05224368,0.11401038,0.17542979,0.27982163,0.08954629,0.13439973,0.11828595,0.080847785,0.21975258,0.14201424,-0.16144875,1.7896745
2023-05-19,0.17372566,0.045885988,0.10523404,0.1770461,0.27973378,0.09267199,0.10519523,0.07932937,0.06768372,0.25646317,0.13647127,-0.16076854,1.6802088
2023-05-22,0.24953006,0.057055615,0.11585541,0.17353833,0.27827254,0.08792108,0.14989682,0.14271882,0.08752497,0.1980275,0.14496009,-0.16090605,1.8462073
2023-05-23,0.26786163,0.06078887,0.116844505,0.17025769,0.27836454,0.08487122,0.15890607,0.16189188,0.09321975,0.18322346,0.1468666,-0.16217166,1.8852677
2023-05-24,0.2795872,0.06309106,0.117618054,0.16761205,0.27771914,0.08294936,0.16427396,0.1741402,0.09783829,0.17270023,0.14859124,-0.1628705,1.9089912
2023-05-25,0.15780875,0.04052174,0.105645,0.17344171,0.27736393,0.0939905,0.09513485,0.06698145,0.06501535,0.26411077,0.13893953,-0.16068803,1.6396416
2023-05-26,0.26950926,0.06101824,0.11635588,0.16844994,0.28027555,0.08301475,0.15982307,0.16602378,0.09103374,0.18362024,0.14597994,-0.16177556,1.8868799
2023-05-30,0.30123284,0.067140594,0.11650492,0.15856038,0.27753288,0.07663179,0.17369524,0.20253526,0.101337,0.15377644,0.15022661,-0.16283008,1.942004
2023-05-31,0.30259025,0.06736499,0.11649664,0.15811977,0.27719635,0.07645449,0.17429045,0.20406337,0.101869464,0.15224296,0.15048927,-0.1628229,1.944001
2023-06-01,0.29947132,0.06676532,0.116720304,0.15932597,0.2778003,0.07710461,0.1730199,0.20024183,0.10090925,0.15554075,0.15005206,-0.16285366,1.9398053
2023-06-02,0.29665077,0.06620542,0.11683598,0.16034082,0.2782229,0.07767014,0.17184919,0.19687612,0.09997904,0.15840475,0.14965807,-0.16284166,1.935535
2023-06-05,0.287562,0.064513765,0.11736746,0.16419643,0.27849802,0.08027382,0.16793789,0.18491721,0.09842853,0.16657704,0.14890824,-0.16284826,1.9220287
2023-06-06,0.2905998,0.065026246,0.117190436,0.16271535,0.2787672,0.079190485,0.16930564,0.18924576,0.09853297,0.1641541,0.1490284,-0.16280693,1.9265633
2023-06-07,0.2791434,0.06284449,0.117457315,0.1670709,0.2786344,0.08238325,0.16424622,0.17474273,0.09631699,0.17386848,0.14810076,-0.16261455,1.9074234
2023-06-08,0.313604,0.069435254,0.11539708,0.15319543,0.27504566,0.07415995,0.17868431,0.21852766,0.10460088,0.14026861,0.15202388,-0.16226158,1.9572045
2023-06-09,0.3106885,0.06887202,0.115657136,0.15439181,0.27583885,0.074589044,0.17753343,0.21489973,0.103615046,0.14367816,0.15151305,-0.16241734,1.9536942
2023-06-12,0.31303173,0.06936522,0.115375236,0.15332781,0.2754024,0.07416261,0.17842813,0.21807793,0.10413309,0.14113937,0.15182555,-0.16224998,1.9565191
2023-06-13,0.3127606,0.069381505,0.11532779,0.1533229,0.27576667,0.074121326,0.1782815,0.21806496,0.103715904,0.14173636,0.1516586,-0.1622214,1.9563596
2023-06-14,0.30968195,0.06862083,0.115806416,0.15480267,0.27606437,0.074780025,0.1771852,0.21362089,0.10330196,0.1447604,0.15138891,-0.16247946,1.9524932
2023-06-15,0.2962324,0.066100106,0.11702277,0.1607253,0.2781012,0.07799627,0.17172037,0.19600695,0.1001933,0.15863545,0.14975739,-0.1628743,1.9353659
2023-06-16,0.28867343,0.06466126,0.117385834,0.16375855,0.2784793,0.07999521,0.16847527,0.1863478,0.09860039,0.16556343,0.14904085,-0.16285384,1.9238353
2023-06-20,0.29755014,0.06638342,0.11718768,0.16069767,0.27751163,0.07814258,0.17228445,0.19687827,0.10132558,0.15695047,0.15018962,-0.16295704,1.9380586
2023-06-21,0.29633695,0.06617741,0.11722432,0.16115588,0.27767798,0.07839766,0.17175524,0.19538516,0.1009921,0.15818158,0.15001723,-0.162949,1.9362503
2023-06-22,0.29181132,0.0653166,0.11753245,0.1630887,0.27785873,0.07969289,0.16982165,0.1894148,0.100224204,0.1622839,0.1496577,-0.16296723,1.9296701
2023-06-23,0.31165206,0.069150075,0.11552626,0.1539477,0.275855,0.074396394,0.17787416,0.2163035,0.10371326,0.14283979,0.15156668,-0.16231918,1.9551442
